Teste,Tamanho,Real,User,Sys
1,512,3.53,4.07,0.52
2,512,2.87,2.89,0.40
3,512,2.97,2.73,0.44
4,512,3.89,3.58,0.62
5,512,Command,exited,with non-zero status 1
6,512,4.46,4.45,0.87
7,512,4.38,4.78,0.67
8,512,4.18,4.41,0.61
9,512,3.81,3.59,0.57
10,512,3.79,3.58,0.58
11,512,3.70,3.31,0.71
12,512,3.77,3.34,0.80
13,512,4.25,4.35,0.69
14,512,4.12,3.70,0.75
15,512,5.80,5.26,0.88
16,512,4.58,4.39,0.65
17,512,4.12,4.02,0.58
18,512,4.02,3.94,0.64
19,512,3.97,3.89,0.61
20,512,4.01,4.13,0.51
21,512,4.18,4.02,0.69
22,512,4.40,4.49,0.67
23,512,4.26,3.86,0.82
24,512,4.10,3.95,0.67
25,512,5.10,5.06,0.74
26,512,4.47,4.01,0.66
27,512,4.18,4.15,0.69
28,512,4.13,4.15,0.62
29,512,3.91,3.76,0.60
30,512,4.91,4.88,0.84
