Teste,Tamanho,Real,User,Sys
1,20,0m0.028s,0m0.003s,0m0.000s
2,20,0m0.017s,0m0.002s,0m0.000s
3,20,0m0.023s,0m0.003s,0m0.000s
4,20,0m0.020s,0m0.003s,0m0.000s
5,20,0m0.024s,0m0.002s,0m0.000s
6,20,0m0.019s,0m0.002s,0m0.000s
7,20,0m0.039s,0m0.003s,0m0.000s
8,20,0m0.022s,0m0.000s,0m0.002s
9,20,0m0.027s,0m0.002s,0m0.000s
10,20,0m0.019s,0m0.000s,0m0.002s
11,20,0m0.023s,0m0.002s,0m0.000s
12,20,0m0.040s,0m0.000s,0m0.003s
13,20,0m0.033s,0m0.000s,0m0.002s
14,20,0m0.031s,0m0.002s,0m0.000s
15,20,0m0.027s,0m0.003s,0m0.000s
