Teste,Tamanho,Real,User,Sys
1,1024,0m0.001s,0m0.001s,0m0.001s
2,1024,0m0.001s,0m0.001s,0m0.001s
3,1024,0m0.001s,0m0.000s,0m0.000s
4,1024,0m0.001s,0m0.000s,0m0.001s
5,1024,0m0.001s,0m0.000s,0m0.000s
6,1024,0m0.001s,0m0.000s,0m0.000s
7,1024,0m0.001s,0m0.001s,0m0.000s
8,1024,0m0.001s,0m0.001s,0m0.000s
9,1024,0m0.001s,0m0.000s,0m0.000s
10,1024,0m0.001s,0m0.001s,0m0.000s
11,1024,0m0.001s,0m0.001s,0m0.000s
12,1024,0m0.000s,0m0.000s,0m0.000s
13,1024,0m0.001s,0m0.001s,0m0.000s
14,1024,0m0.001s,0m0.001s,0m0.000s
15,1024,0m0.001s,0m0.000s,0m0.001s
16,1024,0m0.001s,0m0.000s,0m0.000s
17,1024,0m0.001s,0m0.001s,0m0.000s
18,1024,0m0.001s,0m0.001s,0m0.000s
19,1024,0m0.001s,0m0.001s,0m0.000s
20,1024,0m0.001s,0m0.001s,0m0.000s
21,1024,0m0.001s,0m0.001s,0m0.000s
22,1024,0m0.001s,0m0.000s,0m0.001s
23,1024,0m0.001s,0m0.001s,0m0.000s
24,1024,0m0.001s,0m0.001s,0m0.000s
25,1024,0m0.001s,0m0.001s,0m0.000s
26,1024,0m0.001s,0m0.001s,0m0.000s
27,1024,0m0.001s,0m0.001s,0m0.000s
28,1024,0m0.001s,0m0.000s,0m0.001s
29,1024,0m0.001s,0m0.001s,0m0.000s
30,1024,0m0.001s,0m0.001s,0m0.000s
31,1024,0m0.001s,0m0.001s,0m0.000s
32,1024,0m0.001s,0m0.001s,0m0.000s
33,1024,0m0.001s,0m0.001s,0m0.000s
34,1024,0m0.001s,0m0.001s,0m0.000s
35,1024,0m0.001s,0m0.001s,0m0.000s
36,1024,0m0.001s,0m0.001s,0m0.000s
37,1024,0m0.001s,0m0.001s,0m0.000s
38,1024,0m0.001s,0m0.001s,0m0.000s
39,1024,0m0.001s,0m0.001s,0m0.001s
40,1024,0m0.002s,0m0.002s,0m0.000s
41,1024,0m0.001s,0m0.001s,0m0.000s
42,1024,0m0.001s,0m0.001s,0m0.000s
43,1024,0m0.001s,0m0.001s,0m0.000s
44,1024,0m0.001s,0m0.001s,0m0.000s
45,1024,0m0.001s,0m0.001s,0m0.000s
46,1024,0m0.001s,0m0.001s,0m0.000s
47,1024,0m0.001s,0m0.001s,0m0.000s
48,1024,0m0.001s,0m0.000s,0m0.001s
49,1024,0m0.001s,0m0.000s,0m0.001s
50,1024,0m0.001s,0m0.000s,0m0.000s
51,1024,0m0.001s,0m0.001s,0m0.000s
52,1024,0m0.001s,0m0.001s,0m0.000s
53,1024,0m0.001s,0m0.001s,0m0.000s
54,1024,0m0.001s,0m0.000s,0m0.001s
55,1024,0m0.001s,0m0.001s,0m0.000s
56,1024,0m0.001s,0m0.001s,0m0.000s
57,1024,0m0.001s,0m0.000s,0m0.000s
58,1024,0m0.001s,0m0.000s,0m0.000s
59,1024,0m0.001s,0m0.001s,0m0.000s
60,1024,0m0.001s,0m0.001s,0m0.000s
61,1024,0m0.001s,0m0.000s,0m0.001s
62,1024,0m0.001s,0m0.001s,0m0.000s
63,1024,0m0.001s,0m0.001s,0m0.000s
64,1024,0m0.001s,0m0.001s,0m0.000s
65,1024,0m0.001s,0m0.001s,0m0.000s
66,1024,0m0.001s,0m0.001s,0m0.000s
67,1024,0m0.001s,0m0.001s,0m0.000s
68,1024,0m0.001s,0m0.001s,0m0.000s
69,1024,0m0.001s,0m0.001s,0m0.000s
70,1024,0m0.001s,0m0.001s,0m0.000s
71,1024,0m0.001s,0m0.001s,0m0.000s
72,1024,0m0.001s,0m0.001s,0m0.000s
73,1024,0m0.001s,0m0.001s,0m0.000s
74,1024,0m0.001s,0m0.001s,0m0.000s
75,1024,0m0.001s,0m0.001s,0m0.000s
76,1024,0m0.001s,0m0.000s,0m0.000s
77,1024,0m0.001s,0m0.001s,0m0.000s
78,1024,0m0.001s,0m0.001s,0m0.000s
79,1024,0m0.001s,0m0.001s,0m0.000s
80,1024,0m0.001s,0m0.000s,0m0.000s
81,1024,0m0.001s,0m0.001s,0m0.000s
82,1024,0m0.001s,0m0.001s,0m0.000s
83,1024,0m0.001s,0m0.001s,0m0.000s
84,1024,0m0.001s,0m0.001s,0m0.000s
85,1024,0m0.001s,0m0.001s,0m0.000s
86,1024,0m0.001s,0m0.000s,0m0.001s
87,1024,0m0.001s,0m0.000s,0m0.000s
88,1024,0m0.001s,0m0.001s,0m0.000s
89,1024,0m0.001s,0m0.001s,0m0.000s
90,1024,0m0.001s,0m0.001s,0m0.000s
91,1024,0m0.001s,0m0.001s,0m0.000s
92,1024,0m0.001s,0m0.001s,0m0.000s
93,1024,0m0.001s,0m0.001s,0m0.001s
94,1024,0m0.001s,0m0.001s,0m0.000s
95,1024,0m0.001s,0m0.000s,0m0.001s
96,1024,0m0.001s,0m0.001s,0m0.000s
97,1024,0m0.002s,0m0.002s,0m0.000s
98,1024,0m0.001s,0m0.001s,0m0.000s
99,1024,0m0.001s,0m0.000s,0m0.000s
100,1024,0m0.000s,0m0.000s,0m0.000s
101,1024,0m0.001s,0m0.001s,0m0.000s
102,1024,0m0.001s,0m0.000s,0m0.001s
103,1024,0m0.001s,0m0.001s,0m0.000s
104,1024,0m0.001s,0m0.000s,0m0.000s
105,1024,0m0.001s,0m0.000s,0m0.000s
106,1024,0m0.001s,0m0.000s,0m0.000s
107,1024,0m0.001s,0m0.000s,0m0.001s
108,1024,0m0.001s,0m0.000s,0m0.001s
