Teste,Tamanho,Real,User,Sys
1,2048,79.10,78.92,0.13
2,2048,79.56,79.34,0.13
3,2048,80.25,80.01,0.15
4,2048,79.76,79.56,0.11
5,2048,80.20,79.95,0.17
6,2048,81.14,80.80,0.17
7,2048,81.33,81.04,0.13
8,2048,117.90,83.01,0.26
9,2048,116.50,83.18,0.23
10,2048,110.91,84.03,0.17
11,2048,120.60,83.59,0.15
12,2048,116.38,83.52,0.13
13,2048,120.47,84.83,0.17
14,2048,110.36,83.47,0.27
15,2048,76.82,57.13,0.13
16,2048,80.40,60.09,0.19
17,2048,74.25,57.34,0.17
18,2048,80.41,60.42,0.16
19,2048,78.16,58.03,0.21
20,2048,81.28,59.78,0.22
21,2048,81.55,61.23,0.15
22,2048,74.60,57.08,0.19
23,2048,52.56,40.31,0.17
24,2048,61.63,61.31,0.20
25,2048,61.42,61.14,0.15
26,2048,68.80,67.77,0.23
27,2048,83.40,83.05,0.20
28,2048,96.46,86.14,0.30
29,2048,110.99,85.19,0.33
30,2048,79.26,62.18,0.20
